,ROWID,State lgd code,District lgd code,Sub-District lgd Code,ULB_RLB_Village lgd Code,Households,Population,Male population,Female population,Population in the age group 0 to 6 years,Male Population in the age group 0 to 6 years,Female Population in the age group 0 to 6 years,Scheduled Caste population,Male Scheduled Caste population,Female Scheduled Caste population ,Scheduled Tribe population,Male Scheduled Tribe population,Female Scheduled Tribe population ,Literate population ,Male literate population,Female literate population ,Illiterate population,Male illiterate population ,Female illiterate population ,Working population,Male working population,Female Woking population,Number of main workers,Number of male main workers,Number of female main worker,Number of main workers as cultivators,Number of male main workers as cultivators,Number of female main workers as cultivators,Number of main workers as agricultural labourers,Number of male main workers as agricultural labourers,Number of female main workers as agricultural labourers,Number of main workers in the household industry,Number of male main workers in the household industry,Number of female main workers in the household industry,Number of  main workers as Other workers,Number of male main workers as Other workers,Number of female main workers as Other workers,Number of marginal workers,Number of male marginal workers,Number of female marginal workers,Number of marginal workers as cultivators,Number of male marginal workers as cultivators,Number of female marginal workers as cultivators,Number of marginal workers as agricultural labourers,Number of male marginal workers as agricultural labourers,Number of female marginal workers as agricultural labourers,Number of marginal workers in the household industry,Number of male marginal workers in the household industry,Number of female marginal workers in the household industry,Number of marginal workers as Other workers,Number of male marginal workers as Other workers,Number of female marginal workers as Other workers,Number of marginal workers  who worked for 3 to 6 months,Number of male marginal workers  who worked for  3 to 6 months,Number of female marginal workers who worked for  3 to 6 months,Total Number of marginal workers as cultivators who worked for 3 to 6 months,Number of male marginal workers as cultivators who worked for 3 to 6 months,Number of female marginal workers as cultivators who worked for 3 to 6 months,Number of marginal workers as agricultural labour who worked for 3 to 6 months,Number of male marginal workers as agricultural labour who worked for 3 to 6 months,Number of female marginal workers as agricultural labour who worked for 3 to 6 months,Number of  marginal workers in household industry who worked for 3 to 6 months,Number of male marginal workers in household industry who worked for 3 to 6 months,Number of female marginal workers in household industry who  worked for 3 to 6 months,Number of marginal workers as Other workers who worked for 3 to 6 months,Number of male marginal workers as Other workers who worked for 3 to 6 months,Number of female marginal workers as Other workers who worked for 3 to 6 months,Number of marginal workers  who worked for 0 to 3 months,Number of male marginal workers  who worked for 0 to 3 months,Number of female marginal workers  who worked for 0 to 3 months,Number of marginal workers as cultivators who worked for 0 to 3 months,Number of male marginal workers as cultivators who worked for 0 to 3 months,Number of female marginal workers as cultivators who worked for 0 to 3 months,Total nuumber of marginal workers as agricultural labour who worked for 0 to 3 months,Number of male marginal workers in agricultural labour who  worked for 0 to 3 months,Number of female marginal workers as agricultural labour who worked for 0 to 3 months,Number of marginal workers in household industry who worked for 0 to 3 months,Number of male marginal workers in household industry who  worked for 0 to 3 months,Number of female marginal workers in household industry who  worked for 0 to 3 months,Number of marginal workers as Other workers who worked for 0 to 3 months,Number of male marginal workers as Other workers who worked for 0 to 3 months,Number of female marginal workers as Other workers who worked for 0 to 3 months,Number of Non workers,Number of male Non workers,Number of female Non workers,Source Year,YearCode
Male working population,0.07892226802536113,0.01609275179276665,0.018485309107061258,0.08172696427519219,0.034758790004409235,0.9961250002722567,0.9965818620092171,0.9974845139920526,0.9945693369684777,0.985607712825077,0.984242737437847,0.98649666195771,0.8825926764999069,0.8824308296308059,0.8821006353212258,0.47034370641215034,0.48610314112912434,0.4537005376658935,0.9970985522845317,0.998109814163488,0.994468018393837,0.9691984985825854,0.9691394909106523,0.9676902121547627,0.9981483268243884,1.0,0.9609859807853455,0.99747045357048,0.9992224326826729,0.9538251539001557,0.285080565333857,0.28784502151304786,0.20391972762497293,0.32682087532371384,0.37279882862043545,0.20743505862305633,0.8380127526761517,0.8356941789004811,0.7134076556409122,0.9956726261808585,0.9973404626793174,0.9525023413586333,0.882102972192122,0.8724956280236202,0.8658065062926833,0.2853324569274422,0.328920766019033,0.21744209526864622,0.17588773879618935,0.19653529697879402,0.12756127200607945,0.7307071527943005,0.6921410698497381,0.6884308450645646,0.9096525283843996,0.9002628945362834,0.9075772780940377,0.8802471514979324,0.8712530740566145,0.8651212921831037,0.339506120459419,0.3775063298018675,0.25491089992495297,0.17914431313072623,0.19685321725745697,0.1294823129627444,0.7186515315056793,0.6744856439750676,0.6773269812562009,0.9035721130920111,0.8970591397980793,0.89907295408949,0.7708620990148474,0.7929524892725189,0.636197881021992,0.037629051803862175,0.046556977349522445,0.027332663726265756,0.09160652074122416,0.11048861684940413,0.06003170438381491,0.6529373169317924,0.6631928931011623,0.5643800408241378,0.885254239531755,0.8625339818955695,0.8505701524332397,0.9903060361155983,0.9861970124888818,0.9917563738604961,,
Female Woking population,0.09642832109979135,0.04351034505895631,0.012633497200920642,0.07738414971663611,0.03769233542535791,0.9731608041535024,0.9578115787835343,0.9537540312835541,0.9613735785325606,0.9391059558699358,0.9328247635257374,0.9454956613127795,0.8777313160013199,0.8736845419966905,0.8813610375459271,0.47144505536574505,0.4854581686900775,0.4565617226355319,0.961497943910282,0.9569881240508842,0.965604156809986,0.9202633219322955,0.9154440023056867,0.9227835611185629,0.976031105156438,0.9609859807853455,1.0,0.9728863300821246,0.9583711118783801,0.9949486088183706,0.3234529824536768,0.31153448823133173,0.2626262566953884,0.3686057632776165,0.3968345896817035,0.2697860031902238,0.8199351023274069,0.8022337020210947,0.7296793302645163,0.9680976476223403,0.9546034446862108,0.9881464001307697,0.8855453039367226,0.8616015365888688,0.8900574156024383,0.31740379771589594,0.34885351568157064,0.2531444079572222,0.20733989100295008,0.2070472329746149,0.17468478362495432,0.7079043435892562,0.6762659463061517,0.66258065564093,0.905553140180226,0.8852492387262034,0.920737034263066,0.8855481515394182,0.8629642005985735,0.8896313908642911,0.3712133519568317,0.39559570246540726,0.290248619972956,0.21145174099601113,0.20819709260787733,0.17692482078210814,0.6934995899037424,0.6553384994835676,0.6501930970778761,0.9021097091932206,0.8853066698806734,0.9132418033445637,0.7621140900091572,0.7673624273317148,0.6523512686351419,0.05691894396505851,0.06114437364504987,0.047412563060173656,0.1071175194757903,0.11357141824213268,0.08335267282947202,0.6417232706369608,0.6612963175937552,0.5484499945147789,0.8620544499557815,0.8271965317378692,0.85331498214907,0.9413372111681281,0.9364753110684733,0.9432668352854331,,
Number of main workers,0.07330739771633905,0.02367926046351682,0.01809480261186005,0.08083661196172716,0.03605534131692914,0.9965051572851278,0.9918625999663171,0.9921988886347135,0.9904868777995083,0.9784749777618468,0.976195549095841,0.9803861391500147,0.8784057390149227,0.877118537411446,0.8791097464889425,0.4730982057088393,0.4887906234395313,0.45651827073106777,0.9945607705757432,0.9947248336438775,0.9929598528221993,0.9569199898467416,0.9559094996576594,0.956220930533657,0.9987750653353455,0.99747045357048,0.9728863300821246,1.0,0.9981690368694526,0.9705351411031996,0.28622975369649556,0.2838215504680062,0.2155047826543423,0.3291780070573447,0.36861555676680235,0.2193521683322973,0.8318195328551001,0.8242462168212501,0.7189508633682425,0.9984443603339566,0.9968292622629928,0.9686435068139636,0.8650286157963798,0.8520191797620006,0.8542850817889311,0.2748743017090981,0.31374140925258726,0.2115369395740215,0.1574172171186684,0.17292007514890945,0.11710351340655187,0.7093364299322733,0.6674678240786804,0.6716763235050638,0.896456744494087,0.8838381743852421,0.8997096074186055,0.8637410268748454,0.8513338446310161,0.8540059328364715,0.32899282674546304,0.36207167778753807,0.24953250566416785,0.16189603341408249,0.1742736611794202,0.12063190059350812,0.69652571928775,0.6487875277038179,0.6602654057394839,0.8905675831921221,0.8810123933513008,0.8908897952756006,0.7525871321667401,0.7711437028426132,0.6253559454574239,0.03174458016736718,0.039525546561788076,0.022895385324385998,0.07700040936894079,0.0934875699184061,0.049941598151149846,0.6375647905699338,0.6455417326548832,0.5524308282660003,0.8716537949317956,0.8447104827374993,0.8464922082125369,0.9822717464828364,0.9772497298680886,0.9842557124483071,,
Number of male main workers,0.07195412488041819,0.017640594335572666,0.018979234727069385,0.08137005242954932,0.035090518206247784,0.9947991837283316,0.9938917683850935,0.9952095747410818,0.9914186580671004,0.9823767894696126,0.9811822353448417,0.983078150135453,0.8744529840377627,0.87406419530393,0.8742076262487853,0.4706914360866994,0.4866153160324055,0.4538818334589033,0.9955838739580898,0.9968938770617412,0.9925936716300015,0.962439144163809,0.9624208500820703,0.9609079358856947,0.9969614838477838,0.9992224326826729,0.9583711118783801,0.9981690368694526,1.0,0.954183408155937,0.27946017660790295,0.28098933230968015,0.2023511029868294,0.3201207419127738,0.3636606613520545,0.20545020258766897,0.8310250002339209,0.8271118551013575,0.7107699358708457,0.9970490756110887,0.9988498914271527,0.9532829299090678,0.863598283539647,0.852552049202898,0.8500382253277187,0.27373013565205956,0.31332745651709315,0.21006681651205839,0.15773669763532905,0.17521080850270665,0.11542653412140702,0.7142686971447794,0.6706339104220183,0.6774719687463989,0.8943817735702916,0.8838432471164767,0.8943983177041257,0.8619000968167204,0.8514044677691904,0.8494978272039516,0.3274805972884914,0.3614359098240099,0.24769466311670132,0.1618284448948409,0.1762575397563072,0.11853051960303318,0.7021390523439899,0.6528675640215371,0.6664695736013609,0.8881236876598506,0.8805225287042951,0.8855209120440156,0.753943122429022,0.7744238135352088,0.6238191795660523,0.03194569421826482,0.03986180849996007,0.02298429206176101,0.07841950421318625,0.09585264079156895,0.050321350825891564,0.639409001474014,0.644973474087025,0.5556288441877281,0.872452405755409,0.8479481450620548,0.8424235938485649,0.9866910296006313,0.9819279720920947,0.9885216548124557,,
Number of female main worker,0.07600375327655849,0.0468651674753594,0.013906331335294439,0.07574007206583644,0.03857356797976176,0.9666708419911523,0.9473191953444807,0.943733034761023,0.9503657258712773,0.9269636084399436,0.9204461370571194,0.9336240200614622,0.8618631668906965,0.8570442597313965,0.866323297353861,0.4652955245128099,0.4794890265792956,0.4502399803160262,0.9539260614994978,0.9495189942096753,0.9579185068135503,0.899757924556106,0.8948319514267143,0.9023996069840132,0.9692859901571858,0.9538251539001557,0.9949486088183706,0.9705351411031996,0.954183408155937,1.0,0.3026763361012338,0.28467133625093255,0.25998358808344707,0.35315935845163016,0.3748045517113382,0.2666705072814582,0.8044079575061267,0.7825319470625961,0.7251135146640949,0.9673010660188732,0.952137306584095,0.9942294159782947,0.8389291563648575,0.8185770949481381,0.8398007751608967,0.26932825842197844,0.30385769156029163,0.20961762790275862,0.15035801439702048,0.15743809314301,0.11947952664957918,0.6636132544569358,0.6303196552004471,0.6238980391498475,0.8717700790816537,0.851329050623106,0.8877959450952336,0.8393246027945998,0.8197584099423482,0.8405726299025454,0.32292370626204553,0.3512950416440822,0.24768140890864732,0.15621416743689873,0.15996434511012272,0.12456891005579483,0.6485602785366443,0.6086851088183161,0.6112791360489511,0.8675670876888417,0.8505788321009962,0.879529775720174,0.7195209801063424,0.729730282512662,0.6084905901306197,0.02977650320032341,0.03673305906891234,0.021699597052292414,0.06851668859217393,0.08062929954249147,0.04659297336195113,0.6067818004392235,0.6240761120196969,0.5193840939707479,0.8364313251618277,0.8007619310439941,0.8315842931300896,0.9285593530324392,0.9226903206859951,0.9310812566037249,,
Number of main workers as cultivators,0.48030853660046285,0.10834033585206722,0.0022727764350356323,0.020185753029996478,0.0435122151246588,0.2848703277461619,0.2956289629356228,0.29340445999477266,0.2978132509999792,0.3175336345896709,0.31702274907104316,0.31789918590178534,0.3140453107539266,0.3147929193511325,0.3130167054264137,0.25430025618097213,0.25915633889724177,0.24899839118785222,0.27828819504492364,0.2802455767089074,0.2755252642411689,0.34909688613756656,0.34179309839441474,0.35459634382206523,0.29543712376562675,0.285080565333857,0.3234529824536768,0.28622975369649556,0.27946017660790295,0.3026763361012338,1.0,0.9606770563407246,0.8170850247424641,0.5301739779727112,0.5173601679811696,0.46904165642700163,0.26101984302118736,0.25538753629740935,0.2322819014838767,0.2454747649287079,0.24562124770872512,0.23591764498987797,0.34451202183457935,0.3156374045684739,0.3748185150947889,0.34826140066519884,0.29040060328106443,0.3388088687556825,0.31768720386752936,0.2671930455347836,0.31704985145908854,0.2755572405814782,0.2623752938684296,0.2585756188688465,0.2772932119137563,0.2750176104739428,0.27573694877140387,0.3410929382895174,0.3143347318177763,0.36841607860923753,0.3597556666407535,0.2821301869745398,0.3493036751114833,0.3265404150576307,0.2709752839612237,0.32362229279538784,0.2735564791308568,0.2587327519651121,0.25629765303229113,0.275838595027627,0.27524584729884377,0.27234840829604573,0.3180414478870447,0.2920302647123528,0.311964679779309,0.17341569854499075,0.1668483855121424,0.15716615133784284,0.15598783941280708,0.13859069147389716,0.14394210409931785,0.2376720532540927,0.2403565444086869,0.2061256963307175,0.26691927740551136,0.25560826301500295,0.2652315558343235,0.2941774686669234,0.3022640516614226,0.28924431611489937,,
Number of male main workers as cultivators,0.5410410744882792,0.0734470728980515,0.00047052874573055246,0.01896968241587899,0.03205624990837334,0.28650732877853324,0.3007184846909731,0.29866893162177405,0.30270240094532513,0.32714635264994,0.32697400211815975,0.32712901900896874,0.3257068858499632,0.32708008753678586,0.3240063701041025,0.2372650914069053,0.24208007032436685,0.2320317087898307,0.28097349599959953,0.28345989088934487,0.27756609400583054,0.3625203557080285,0.3556381245818669,0.367648456063293,0.29499122577268516,0.28784502151304786,0.31153448823133173,0.2838215504680062,0.28098933230968015,0.28467133625093255,0.9606770563407246,1.0,0.6248743851043325,0.5515601969660819,0.5681293283664041,0.44262047606581806,0.2674276601932997,0.262091008604391,0.23709400811078457,0.2430001690016125,0.24464590570355543,0.22738158608556214,0.36229613575563857,0.3333317121693893,0.3921224302068929,0.3600081681251205,0.30519390501072474,0.3469330823506471,0.3777943947470341,0.32915998302791427,0.36577104999537474,0.2965458520321941,0.27931764157572203,0.2805915304596599,0.2822537553249101,0.2815252749321253,0.27816980933140056,0.3577509782776216,0.3315656260544209,0.3837283632934378,0.3744913439397479,0.3013323318273869,0.35847535811409903,0.38550533172721047,0.33228682728504527,0.3697137914543015,0.29466163820883684,0.2763100115033583,0.2779043497555198,0.2801373313949615,0.28124372856925134,0.27400147650974,0.3404419610905563,0.3107662546624534,0.33651871495826746,0.17319431659587164,0.16347743671997797,0.15903069378137955,0.1944817981334759,0.17604850854295667,0.1767210943155565,0.25487092570677,0.25272630111188205,0.22434192483618137,0.27637455053121196,0.2650218194202762,0.27392125758926666,0.30269839663177406,0.3108462558466872,0.2977220318855288,,
Number of female main workers as cultivators,0.22714004530924223,0.1521259981368037,0.005413462973065445,0.01737030547965848,0.05578641039520689,0.20610602473571973,0.20684994578977245,0.20485071323261478,0.2088723858348739,0.21356807885703002,0.21248945955797474,0.2146318966455332,0.20674862387928758,0.20599953750183628,0.2073872219618056,0.2223922561530973,0.22604895438898004,0.21835086637925355,0.19908869854220115,0.19942985407283265,0.19839483355484314,0.2288687492384011,0.22262198486426008,0.23368431011773044,0.2182019487081835,0.20391972762497293,0.2626262566953884,0.2155047826543423,0.2023511029868294,0.25998358808344707,0.8170850247424641,0.6248743851043325,1.0,0.34550709181301964,0.27507605494425585,0.3998095798186047,0.17865987871368152,0.17390379445713675,0.1608380046535859,0.18566980285588242,0.18266465906075463,0.19122642186968133,0.21644293406948983,0.1953938623533279,0.2397285550351422,0.231735605590614,0.18285702562593542,0.23230528116577653,0.10884028539851946,0.06784352811250226,0.13201207528949696,0.1590774236617379,0.15778408110904527,0.14445550363012558,0.19363290503991779,0.18874707914692793,0.1977365484800986,0.21626645123360533,0.195398001865412,0.23915513536472,0.2339831252551938,0.1676206356146397,0.23784873536272436,0.11772296954988298,0.07198591847644749,0.14230570537217346,0.15736399893396036,0.1537869561881806,0.14362984272474305,0.19393721993396987,0.18997338687719853,0.19686355020984628,0.18739048371258943,0.17586941286913726,0.17845007063312185,0.12799641079339533,0.12970593622599258,0.1117148854529189,0.03479533282504642,0.02415210417966567,0.037802305694370715,0.1390837239236,0.15108460800895304,0.11377096861935045,0.17667117986256045,0.16843922842283807,0.17701950429832009,0.19865789466384012,0.2044778607721629,0.19511957995177412,,
Number of main workers as agricultural labourers,0.42633503563279584,0.24093199396865173,0.00131800766533281,0.024460755490397845,0.09867313584760021,0.33230013095904964,0.3378983699306819,0.3346817506173785,0.3411471924908087,0.35756902227226806,0.35581353085163203,0.3592940442174589,0.35994157576519126,0.35902142767888584,0.36064632051768447,0.22459696653266756,0.22889863193277585,0.2199014762158443,0.31856947645960904,0.31937966640928145,0.3171391114711969,0.3972815645317193,0.3911191327875352,0.4017565545328335,0.33820870367043493,0.32682087532371384,0.3686057632776165,0.3291780070573447,0.3201207419127738,0.35315935845163016,0.5301739779727112,0.5515601969660819,0.34550709181301964,1.0,0.9608402709758261,0.9074263604292059,0.3125705516045449,0.3003525977529179,0.28938568787005314,0.284568401343889,0.2841238977707437,0.2760099009796355,0.38040551143561674,0.36503460092781853,0.3897668635338945,0.1392155892382306,0.17081177332003794,0.09926399103809841,0.40638116436373967,0.3626395740867122,0.3849863121815405,0.31968560715167593,0.3091903463108192,0.296324613319357,0.31894560943749956,0.31991610618190774,0.31150684345416707,0.37899899987738916,0.36607894395804946,0.3853870874988826,0.16514160249070348,0.19460108623791636,0.1166207107205374,0.4141926835046496,0.366905061427011,0.38736188824627554,0.31678375031500605,0.30538328327047237,0.29236484306911525,0.3174740524569464,0.32030779302390555,0.30812404273071325,0.3362523931065065,0.3222789710126111,0.3107712158658837,0.019539595344463267,0.02772042542425426,0.011874812698208328,0.21073703243433423,0.1911083046287704,0.19120114661752133,0.2776855102408346,0.2814851344355165,0.24039245557608044,0.3055296305894694,0.2965137882254385,0.2958680389352074,0.33590845049438717,0.3425919343300888,0.3317452656265719,,
Number of male main workers as agricultural labourers,0.4531873596940334,0.1608676889591865,0.000843354875140425,0.02659787126639841,0.07326099602311412,0.376510206174757,0.3870930638119506,0.38416279513101415,0.38997270861368377,0.4123516924473502,0.4106891806570862,0.41393822082242543,0.40920361460986865,0.4095991087622899,0.40847671080465525,0.21980197435703575,0.22474317726687917,0.2144689627847496,0.3647926186080082,0.36602717217490005,0.36278313944479923,0.4556762163871786,0.4513725931731244,0.45851502307748937,0.3805927535830531,0.37279882862043545,0.3968345896817035,0.36861555676680235,0.3636606613520545,0.3748045517113382,0.5173601679811696,0.5681293283664041,0.27507605494425585,0.9608402709758261,1.0,0.7554500981223881,0.36279443651587623,0.3540316195387007,0.3247682404018572,0.32574976267831984,0.32628597276216814,0.31166470281417885,0.4448865864452442,0.434921446255968,0.4441407337952995,0.1703208572133088,0.2154842387911568,0.11714134715646916,0.4546317631979767,0.43631194992112876,0.40047822008725975,0.3866312176584081,0.3758245400641673,0.3569391400845466,0.37552484304421996,0.37897602700560046,0.3631319891110279,0.4419934013793796,0.4352350186901688,0.43759548664631415,0.19832000353794527,0.24204231772075907,0.13444601799249495,0.45880061289059904,0.4388111818920967,0.3967776188592774,0.3828584559640247,0.37149439564065084,0.351490056549134,0.37359258598047246,0.37906489433046064,0.35934741071986226,0.40111395483938095,0.3896186593875171,0.3634293243615123,0.03258604009636018,0.04345577326888195,0.021617222009930635,0.2503264420354686,0.23906570990845202,0.2169700018332441,0.3367207347981178,0.3410716689993372,0.2916677708416457,0.3611986863958291,0.3537037268086409,0.3435564387551427,0.3890968624773736,0.39638810915898204,0.38453411342687366,,
Number of female main workers as agricultural labourers,0.3208302863585002,0.325733741402156,0.0018375116650857358,0.017502949241092105,0.12221514941321232,0.21476259142753693,0.21195123848813602,0.20878917273124267,0.21526621674244562,0.22015893572738704,0.21852920540253484,0.22183184601127853,0.23054269539322314,0.22776727158468044,0.23331136513850198,0.197739179669373,0.20041735266361815,0.19472396875477405,0.20006570392664683,0.20010925566523916,0.1997308878977472,0.24835950004788418,0.24031471366001905,0.2546356647678622,0.2225423805375973,0.20743505862305633,0.2697860031902238,0.2193521683322973,0.20545020258766897,0.2666705072814582,0.46904165642700163,0.44262047606581806,0.3998095798186047,0.9074263604292059,0.7554500981223881,1.0,0.18891145330820833,0.17331058119715625,0.1917557583184805,0.17887691963848742,0.17701276344333064,0.17999966761097277,0.224818160001638,0.20358541774441957,0.2480840054462452,0.07089135456680117,0.07711236439268639,0.05707008807179715,0.2714592467425209,0.1958137843723451,0.3029922436843693,0.16958775074244858,0.1611595667557148,0.1593773674398268,0.18468023955348703,0.18174143704541554,0.18588444868105694,0.22587983635015285,0.2055792386078898,0.24765358539887034,0.08973393133150834,0.09308803887256933,0.0718682582990154,0.2836076564576056,0.2021095289700472,0.3142210214165381,0.16844753112703004,0.15872423843800107,0.1582777742348901,0.1841309225167979,0.18253281333641683,0.1836249625723595,0.18679743912720392,0.17118943693103644,0.18369417386227138,-0.0032138005512400655,-0.00035367973044317337,-0.0047034768044697545,0.11867886635046064,0.08934326152421,0.12306970728275436,0.1459655350704564,0.1483517477791154,0.12610690310013398,0.17468314979981936,0.16473099486018172,0.17859193105634677,0.2042074485302595,0.208953690005552,0.20128280664490292,,
Number of main workers in the household industry,0.08091608925253395,0.01631426645052183,0.017857426364959298,0.07347372462232223,0.03533727996877265,0.8306991693501711,0.8506013916424031,0.8497393447085222,0.8507054546821174,0.8451897828228309,0.8432679124976239,0.846788239262177,0.7768401409378607,0.7795462935142968,0.7733874707886228,0.36023841921401095,0.3726397554686387,0.34715733332114357,0.840349983984258,0.8411375264295194,0.8382113938763791,0.8648737907907273,0.8644275057337595,0.8638544727860928,0.8396753880167893,0.8380127526761517,0.8199351023274069,0.8318195328551001,0.8310250002339209,0.8044079575061267,0.26101984302118736,0.2674276601932997,0.17865987871368152,0.3125705516045449,0.36279443651587623,0.18891145330820833,1.0,0.9760331720230135,0.894801967065251,0.8170349294591457,0.8181285387165877,0.782738358490457,0.8095353179488934,0.8096857060575361,0.7814898257203678,0.24741440204787624,0.2965567082559671,0.18104616494724274,0.1708523433255155,0.2025414153171631,0.11242757006116702,0.8393220347142342,0.8228820546778006,0.7695096666249353,0.8193673028685844,0.8203923743681983,0.8025685841085802,0.8077295056503809,0.8081379882029215,0.7814994336681967,0.29595592886606154,0.3410736441332694,0.2141570858401817,0.1733143507103939,0.20151754105592046,0.11422815136092913,0.8372078244166016,0.8170829516454667,0.7649807036908388,0.8146031641434744,0.8175630049550421,0.7971513446635263,0.7080926949407231,0.7382594658295174,0.5704821820410212,0.028971364834602803,0.04022639800199654,0.01817880077928929,0.09121959132145968,0.118553223987214,0.052594939068015524,0.7105478578374043,0.7334568482826027,0.6064585633184424,0.7921434938148084,0.7854218723879925,0.7343497475613615,0.8529066261902772,0.8587612338855174,0.84874199795487,,
Number of male main workers in the household industry,0.07195944115338333,0.006046838458675793,0.021844242617809716,0.0741844856120913,0.03519960724832084,0.8243832390994527,0.849553614426262,0.8496175445768462,0.8486253743391526,0.8442177158945589,0.842988645903455,0.845045808479276,0.7753303772421949,0.7800019613008979,0.7697954419752518,0.34999862949426674,0.3623286069676054,0.33700576726489745,0.8376531536402544,0.8392836423790871,0.8344974778269751,0.8696586875829947,0.8716726934549852,0.8665902392134885,0.8339583506197485,0.8356941789004811,0.8022337020210947,0.8242462168212501,0.8271118551013575,0.7825319470625961,0.25538753629740935,0.262091008604391,0.17390379445713675,0.3003525977529179,0.3540316195387007,0.17331058119715625,0.9760331720230135,1.0,0.7761962653963264,0.8105658148046911,0.8136344765724769,0.7684012199670475,0.8217122302712805,0.8274464865810244,0.7850974024288767,0.2551747111428501,0.30521817722324734,0.18714796930247732,0.17436568013182205,0.20893920210706296,0.11253562064423339,0.8311219161407489,0.8527334671755034,0.7330865932059804,0.8329049391668624,0.8370791007861188,0.8108974797694491,0.8207607756890666,0.8261398842372016,0.7870294487588538,0.30478833015107165,0.35062079923656647,0.22097264396340469,0.17664668235636907,0.20755784113475656,0.1142646368357137,0.8296230809696326,0.8488128350580669,0.7279641697019088,0.8289296321037607,0.8345255692407751,0.807251409838202,0.713189672196328,0.7527870594862867,0.5616090836270313,0.030931304975216706,0.04241996652426779,0.01975376535811346,0.09383376097698772,0.12342588237326194,0.05286014276212564,0.7016065764082655,0.7525003557262311,0.5802527409716213,0.7988449335104123,0.7992196241922801,0.7264977641394766,0.8547817114253023,0.8615923747278603,0.8500643451011091,,
Number of female main workers in the household industry,0.08680035275369394,0.034860078084057354,0.0069216474615360745,0.06067361705171023,0.03016480212563236,0.7154238503085574,0.7214459101631737,0.7188172414675036,0.7236517367110401,0.7167143530010042,0.7136678381162466,0.7196465044217167,0.6600187768764401,0.6582749956341557,0.6613709691801901,0.3256368805914368,0.33627025235787783,0.31439409106830163,0.7161601092690574,0.715096729564229,0.7164382556301023,0.7215490613057612,0.7161242440152453,0.7248909979181195,0.7217857720888256,0.7134076556409122,0.7296793302645163,0.7189508633682425,0.7107699358708457,0.7251135146640949,0.2322819014838767,0.23709400811078457,0.1608380046535859,0.28938568787005314,0.3247682404018572,0.1917557583184805,0.894801967065251,0.7761962653963264,1.0,0.7041831888197101,0.7010560501688786,0.6913225772990025,0.6595879079167801,0.6482594639686861,0.6534521930404547,0.19330099762481023,0.23300855812106003,0.1405803622106291,0.137270519030402,0.1581502239745744,0.09485075588836747,0.7265811445118541,0.6346141218195338,0.7254464903615617,0.6651105545718158,0.6595168545171867,0.6615910308888133,0.6563080915124528,0.6464560012487133,0.6495163282723189,0.23214984225044535,0.2688364995286776,0.16711573340992902,0.13972381512197862,0.15801780636239607,0.09652020609453599,0.7235308227923835,0.6258564229139069,0.722834168744106,0.6594635110099325,0.6565583504992674,0.6533763831214459,0.5883295921412217,0.594492164009743,0.5006220343430392,0.02047820645631664,0.029516528692796223,0.012141460397011932,0.0717751528781615,0.09025595040352176,0.04393191925330268,0.6192060287863025,0.5811662646461684,0.5666038880178637,0.6561140504977536,0.635871547659336,0.6370989290322197,0.7173988765007524,0.7203883227110947,0.715011103770865,,
Number of  main workers as Other workers,0.04627887674242574,0.012946047761498361,0.018200329329913986,0.08063052323201969,0.03189138043163035,0.9947483143468113,0.9886555825347205,0.989211541485545,0.9870379502955297,0.9735544256459137,0.9713108821936285,0.975428797605441,0.8711863315166544,0.8697476472921571,0.8720563419926157,0.4680662908182454,0.4837792595395445,0.4514736063375452,0.9930013865633801,0.993064002598179,0.9915255293533061,0.9479944404980871,0.9473594768143269,0.9469981266645676,0.9963074180422976,0.9956726261808585,0.9680976476223403,0.9984443603339566,0.9970490756110887,0.9673010660188732,0.2454747649287079,0.2430001690016125,0.18566980285588242,0.284568401343889,0.32574976267831984,0.17887691963848742,0.8170349294591457,0.8105658148046911,0.7041831888197101,1.0,0.9982770820001132,0.9705847968387475,0.8544161359439507,0.8420671719456368,0.8430732901583826,0.2649287386017172,0.30426960044384166,0.2026403722986121,0.13610043598654264,0.15403119656980827,0.09677730074549865,0.6939777352170244,0.6514027883957636,0.6583634420713611,0.8909249675980329,0.8776805135689205,0.8952657251049325,0.8532728685994442,0.8414043372923959,0.8431021200285305,0.31865325820058765,0.35267116344401245,0.2403611384054066,0.14019845899760613,0.1552401497432892,0.1001534829693659,0.6807773111217519,0.6322602036567202,0.6467655401568156,0.8850175213792281,0.8748035171280655,0.8864273389041561,0.7425443485689491,0.7620485434476438,0.6153271641669892,0.02694567507842443,0.03457127900996648,0.018766601155929034,0.06585385058925561,0.0832642906027868,0.03992513858297818,0.6260026886249979,0.6333064771898224,0.542759813301681,0.8666771917309077,0.8392885563407687,0.8428373096379027,0.9786198263955194,0.9726876138519955,0.9811317470427616,,
